x1,x2,x3,x4,x5,y
Acceleration,Cylinders,Displacement,Horsepower,Weight,MPG
12.0,8.0,307.0,130.0,3504.0,18.0
11.5,8.0,350.0,165.0,3693.0,15.0
11.0,8.0,318.0,150.0,3436.0,18.0
12.0,8.0,304.0,150.0,3433.0,16.0
10.5,8.0,302.0,140.0,3449.0,17.0
10.0,8.0,429.0,198.0,4341.0,15.0
9.0,8.0,454.0,220.0,4354.0,14.0
8.5,8.0,440.0,215.0,4312.0,14.0
10.0,8.0,455.0,225.0,4425.0,14.0
8.5,8.0,390.0,190.0,3850.0,15.0
17.5,4.0,133.0,115.0,3090.0,NaN
11.5,8.0,350.0,165.0,4142.0,NaN
11.0,8.0,351.0,153.0,4034.0,NaN
10.5,8.0,383.0,175.0,4166.0,NaN
11.0,8.0,360.0,175.0,3850.0,NaN
10.0,8.0,383.0,170.0,3563.0,15.0
8.0,8.0,340.0,160.0,3609.0,14.0
8.0,8.0,302.0,140.0,3353.0,NaN
9.5,8.0,400.0,150.0,3761.0,15.0
10.0,8.0,455.0,225.0,3086.0,14.0
15.0,4.0,113.0,95.0,2372.0,24.0
15.5,6.0,198.0,95.0,2833.0,22.0
15.5,6.0,199.0,97.0,2774.0,18.0
16.0,6.0,200.0,85.0,2587.0,21.0
14.5,4.0,97.0,88.0,2130.0,27.0
20.5,4.0,97.0,46.0,1835.0,26.0
17.5,4.0,110.0,87.0,2672.0,25.0
14.5,4.0,107.0,90.0,2430.0,24.0
17.5,4.0,104.0,95.0,2375.0,25.0
12.5,4.0,121.0,113.0,2234.0,26.0
15.0,6.0,199.0,90.0,2648.0,21.0
14.0,8.0,360.0,215.0,4615.0,10.0
15.0,8.0,307.0,200.0,4376.0,10.0
13.5,8.0,318.0,210.0,4382.0,11.0
18.5,8.0,304.0,193.0,4732.0,9.0
15.5,4.0,107.0,86.0,2464.0,28.0
16.9,4.0,116.0,81.0,2220.0,25.0
14.9,4.0,140.0,92.0,2572.0,25.0
17.7,4.0,98.0,79.0,2255.0,26.0
15.3,4.0,101.0,83.0,2202.0,27.0
13.0,8.0,305.0,140.0,4215.0,17.5
13.0,8.0,318.0,150.0,4190.0,16.0
13.9,8.0,304.0,120.0,3962.0,15.5
12.8,8.0,351.0,152.0,4215.0,14.5
15.4,6.0,225.0,100.0,3233.0,22.0
14.5,6.0,250.0,105.0,3353.0,22.0
17.6,6.0,200.0,81.0,3012.0,24.0
17.6,6.0,232.0,90.0,3085.0,22.5
22.2,4.0,85.0,52.0,2035.0,29.0
22.1,4.0,98.0,60.0,2164.0,24.5
14.2,4.0,90.0,70.0,1937.0,29.0
17.4,4.0,91.0,53.0,1795.0,33.0
17.7,6.0,225.0,100.0,3651.0,20.0
21.0,6.0,250.0,78.0,3574.0,18.0
16.2,6.0,250.0,110.0,3645.0,18.5
17.8,6.0,258.0,95.0,3193.0,17.5
12.2,4.0,97.0,71.0,1825.0,29.5
17.0,4.0,85.0,70.0,1990.0,32.0
16.4,4.0,97.0,75.0,2155.0,28.0
13.6,4.0,140.0,72.0,2565.0,26.5
15.7,4.0,130.0,102.0,3150.0,20.0
13.2,8.0,318.0,150.0,3940.0,13.0
21.9,4.0,120.0,88.0,3270.0,19.0
15.5,6.0,156.0,108.0,2930.0,19.0
16.7,6.0,168.0,120.0,3820.0,16.5
12.1,8.0,350.0,180.0,4380.0,16.5
12.0,8.0,350.0,145.0,4055.0,13.0
15.0,8.0,302.0,130.0,3870.0,13.0
14.0,8.0,318.0,150.0,3755.0,13.0
19.6,4.0,112.0,88.0,2605.0,28.0
18.6,4.0,112.0,88.0,2640.0,27.0
18.0,4.0,112.0,88.0,2395.0,34.0
16.2,4.0,112.0,85.0,2575.0,31.0
16.0,4.0,135.0,84.0,2525.0,29.0
18.0,4.0,151.0,90.0,2735.0,27.0
16.4,4.0,140.0,92.0,2865.0,24.0
20.5,4.0,151.0,NaN,3035.0,23.0
15.3,4.0,105.0,74.0,1980.0,36.0
18.2,4.0,91.0,68.0,2025.0,37.0
17.6,4.0,91.0,68.0,1970.0,31.0
14.7,4.0,105.0,63.0,2125.0,38.0
17.3,4.0,98.0,70.0,2125.0,36.0
14.5,4.0,120.0,88.0,2160.0,36.0
14.5,4.0,107.0,75.0,2205.0,36.0
16.9,4.0,108.0,70.0,2245.0,34.0
15.0,4.0,91.0,67.0,1965.0,38.0
15.7,4.0,91.0,67.0,1965.0,32.0
16.2,4.0,91.0,67.0,1995.0,38.0
16.4,6.0,181.0,110.0,2945.0,25.0
17.0,6.0,262.0,85.0,3015.0,38.0
14.5,4.0,156.0,92.0,2585.0,26.0
14.7,6.0,232.0,112.0,2835.0,22.0
13.9,4.0,144.0,96.0,2665.0,32.0
13.0,4.0,135.0,84.0,2370.0,36.0
17.3,4.0,151.0,90.0,2950.0,27.0
15.6,4.0,140.0,86.0,2790.0,27.0
24.6,4.0,97.0,52.0,2130.0,44.0
11.6,4.0,135.0,84.0,2295.0,32.0
18.6,4.0,120.0,79.0,2625.0,28.0
19.4,4.0,119.0,82.0,2720.0,31.0
